gestion,mes,mes_corto,mes_str,fecha,gas_natural_mmmcd,gas_natural_variacion,petroleo_mbpd,petroleo_variacion,glp_tmd,glp_variacion
2007,6,Jun,06-Jun,1180656000000.0,40.34523151656501,0.04648654613798531,50.8908,0.02197246089903704,516.8633333333333,0.04124918822131329
2025,1,Ene,01-Ene,1735689600000.0,26.472078471348386,-0.0962241375944437,22.949083225806444,-0.08205895028534882,104.33090322580645,-0.01117460884283017
2023,3,Mar,03-Mar,1677628800000.0,38.2514203866,0.000796463775980083,33.87724806451613,0.007276060071987667,123.7476129032258,-0.01038157986408339
2022,6,Jun,06-Jun,1654041600000.0,42.567440683380006,0.028808506642828746,38.462158,0.035222998265495464,130.37483333333333,-0.08865422622051489
2018,2,Feb,02-Feb,1517443200000.0,54.6110769589875,0.0803261457624842,53.98898071428571,0.06753788870957411,256.96282142857143,-0.05442406909724684
2009,9,Sep,09-Sep,1251763200000.0,34.1662050708,-0.03083397087423967,39.5281,-0.038843965728888596,465.01,-0.0376898377158722
2008,4,Abr,04-Abr,1207008000000.0,39.724036283059995,0.0016021955370302265,47.20826666666667,-0.012402018939593362,569.4300000000001,0.05095913410016428
2014,2,Feb,02-Feb,1391212800000.0,61.12997484619286,0.031299015222356896,65.34794535714286,0.028675833171451393,454.3894642857143,0.05665571430575356
2013,10,Oct,10-Oct,1380585600000.0,58.452744300256455,0.0165327841974916,61.642170322580654,0.026262914582852792,457.8163870967742,0.0044385330268998935
2016,10,Oct,10-Oct,1475280000000.0,58.59205224089516,-0.021923026283140357,57.847864838709675,-0.027370438880616632,290.3753548387097,-0.0210833695838214
2023,1,Ene,01-Ene,1672531200000.0,38.95460632852259,-0.014963451948607598,34.41368741935483,-0.018095558183847893,127.45206451612903,-0.017486978826683153
2018,4,Abr,04-Abr,1522540800000.0,52.187010655,-0.07497895351376871,51.837647999999994,-0.06817352645905006,267.1713,0.36042042676376607
2012,4,Abr,04-Abr,1333238400000.0,44.604565255225,-0.06828119079790995,44.4795,-0.09093908825218333,490.47,-0.016369294068937057
2018,8,Ago,08-Ago,1533081600000.0,55.65566340440322,0.003293898522118921,54.807492258064514,0.0023404766188908077,254.7226129032258,-0.0243890355100157
2010,5,May,05-May,1272672000000.0,41.73029247403065,0.19241757510781698,44.44903225806452,0.1307846109388182,465.4774193548387,0.016400216947751733
2020,4,Abr,04-Abr,1585699200000.0,27.237907222875002,-0.3069937687634139,26.829057999999993,-0.30735937247635536,190.5676,-0.019310415808974857
2006,1,Ene,01-Ene,1136073600000.0,32.541034367685484,,49.62951612903226,,689.1806451612903,
2012,2,Feb,02-Feb,1328054400000.0,46.19666956834138,0.18311934701409105,46.882241379310344,0.1796237010487609,458.01379310344834,-0.05833481985628741
2022,10,Oct,10-Oct,1664582400000.0,38.610015840532256,-0.03830472060763268,33.93876483870967,-0.03820317689284103,129.24929032258063,0.10183003100128252
2022,1,Ene,01-Ene,1640995200000.0,43.19112222765968,0.028434480561239983,39.15559193548387,0.03280052838753522,143.5665483870968,-0.04233464341161153
2017,6,Jun,06-Jun,1496275200000.0,48.213676157445,-0.17626993447741235,49.63892833333332,-0.14825879256975816,274.12676666666664,-0.009513808448939676
2012,3,Mar,03-Mar,1330560000000.0,47.87341933498549,0.03629590146457651,48.92906451612903,0.04365881571784169,498.6322580645162,0.08868393391788887
2008,11,Nov,11-Nov,1225497600000.0,39.740221250625005,-0.00708791288293853,45.78196666666667,-0.004044921479807617,517.1966666666667,0.0021311748650958418
2014,1,Ene,01-Ene,1388534400000.0,59.27473404307742,0.04602148787704574,63.52627645161291,0.052373055359987264,430.0260322580647,-0.05783650233540616
2009,12,Dic,12-Dic,1259625600000.0,29.2007641265371,-0.06370884584021796,35.87635483870967,-0.0628964134459904,460.5387096774194,0.09888421051011154
2020,6,Jun,06-Jun,1590969600000.0,41.246712594739996,0.19575135613520822,40.226947333333335,0.17850302411963748,186.74336666666667,-0.010303709688577856
2016,12,Dic,12-Dic,1480550400000.0,47.33812125637259,-0.165911762553399,48.46645548387097,-0.13812367751726096,282.5137741935484,-0.016379046424360943
2025,7,Jul,07-Jul,1751328000000.0,29.045342071354842,0.0445822049952731,24.545398064516128,0.03238912832381602,100.40899999999999,-0.010691261856600742
2014,4,Abr,04-Abr,1396310400000.0,59.401182205995006,0.013016023373216168,63.299706000000015,0.019819226574923965,419.2106,-0.03241269973871386
2016,6,Jun,06-Jun,1464739200000.0,56.570964018824995,0.0050526064777236535,56.47086133333334,0.0027331784094479783,316.1628333333334,-0.029193215723750554
2021,11,Nov,11-Nov,1635724800000.0,42.831645388935,0.0030765437134612217,38.17878066666666,-0.00011878970628398378,145.99833333333333,-0.009719273578712495
2017,9,Sep,09-Sep,1504224000000.0,58.31445229512,-0.024999827801926666,56.94876900000002,-0.02404762317138165,269.7851,-0.07380960607657316
2019,8,Ago,08-Ago,1564617600000.0,46.66651682322097,0.025438361192794412,46.98969064516129,0.01028746834486527,205.800870967742,-0.03829397165814663
2010,6,Jun,06-Jun,1275350400000.0,43.016446815405,0.030820640477771333,45.213499999999996,0.017198748838829436,458.5766666666666,-0.014825107301094542
2021,2,Feb,02-Feb,1612137600000.0,45.2219528163,-0.03362545311978615,42.239668571428574,-0.039118872405334626,168.13782142857144,0.039850499236953496
2009,3,Mar,03-Mar,1235865600000.0,31.25820616005,-0.04973774239094764,39.734967741935485,-0.03558077160692141,498.27419354838713,-0.00467444144659146
2011,12,Dic,12-Dic,1322697600000.0,42.23377428805161,-0.06579976051009384,42.73409677419355,-0.07304927846215226,463.3709677419355,-0.018309579372188356
2011,10,Oct,10-Oct,1317427200000.0,45.315348181727416,-0.012564360418755083,46.48490322580645,-0.004868737896348785,476.28709677419346,0.011203789249046636
2008,6,Jun,06-Jun,1212278400000.0,40.21469744533,0.0029479679298536343,47.049033333333334,-0.0003433580919441903,533.8266666666667,0.0014115729618626727
2024,7,Jul,07-Jul,1719792000000.0,32.194600544104844,-0.01667578452867091,27.929611290322587,-0.016691759182902444,116.05929032258062,0.0005375744638707047
2015,8,Ago,08-Ago,1438387200000.0,59.58999192825484,0.01104246455240454,60.96224967741935,0.0024053584019343432,399.0659677419354,-0.004042665558888658
2015,5,May,05-May,1430438400000.0,60.09143218873549,-0.002845217253354293,62.18742806451612,-0.0021981686359522357,380.7307741935484,-0.05848461942381444
2008,7,Jul,07-Jul,1214870400000.0,41.07100495718226,0.021293396848661272,47.88106451612904,0.017684341714332863,526.9387096774193,-0.012902984094551484
2014,6,Jun,06-Jun,1401580800000.0,60.919746911055,-0.00791893689498635,64.72447266666667,-0.006443930590655955,400.78260000000006,-0.004821229223455736
2010,9,Sep,09-Sep,1283299200000.0,43.303409773305006,-0.0019212802024916042,45.11436666666667,-0.01019192052161455,458.21999999999997,-0.004637376497792833
2013,6,Jun,06-Jun,1370044800000.0,58.285496428205,0.032728981800091095,60.261318333333335,0.02287191030356195,456.2881,-0.03628556827031948
2020,1,Ene,01-Ene,1577836800000.0,51.53198558528226,0.15316256786969018,49.32516806451614,0.13747349636086348,193.05467741935485,0.06346745374969132
2012,8,Ago,08-Ago,1343779200000.0,47.49116743649516,0.029829460596233037,51.07076387096773,0.02676881690914401,468.56796774193543,-0.020058777825204488
2025,3,Mar,03-Mar,1740787200000.0,29.456916524743548,0.06552110701997482,25.43496387096775,0.057959262029356085,100.27858064516128,0.032215752139028275
2024,1,Ene,01-Ene,1704067200000.0,33.86952669300968,-0.009051697988455176,29.560412903225814,-0.008276193797804199,110.88025806451614,-0.06790768910370437
2006,11,Nov,11-Nov,1162339200000.0,33.137425593450004,-0.10574090507364231,45.3591,-0.11025752650784848,686.807,0.044046302639315194
2009,11,Nov,11-Nov,1257033600000.0,31.187696259655002,-0.07028427366005319,38.2843,-0.05699348929157699,419.09666666666664,-0.0701604841961121
2013,4,Abr,04-Abr,1364774400000.0,53.044760133930005,-0.06394574672561482,55.07777666666665,-0.06679765046453034,466.0990333333333,0.013969613433297834
2006,9,Sep,09-Sep,1157068800000.0,37.973529203545,-0.03204088074901901,51.179700000000004,-0.014132294878438811,669.9396666666665,-0.02187533949367193
2008,3,Mar,03-Mar,1204329600000.0,39.66049241910968,0.005406663642698595,47.80109677419355,-0.009043782466715888,541.8193548387097,-0.019570128642578455
2024,12,Dic,12-Dic,1733011200000.0,29.290534935164516,-0.04580388700938898,25.000606774193546,-0.04797991988855821,105.50993548387096,0.06971631514089993
2013,5,May,05-May,1367366400000.0,56.43832743670161,0.0639755424325299,58.913846129032265,0.0696482264631284,473.4681612903226,0.015810219352502264
2020,2,Feb,02-Feb,1580515200000.0,42.13373668416207,-0.18237699934085916,41.15410620689656,-0.16565705051287472,197.4686896551724,0.022864052271727164
2011,8,Ago,08-Ago,1312156800000.0,46.2580170316742,-0.0007976661984295808,47.09193548387096,-0.005729899888507806,464.99354838709667,-0.011167819119745626
2008,8,Ago,08-Ago,1217548800000.0,40.168575264532265,-0.021972427837858022,46.26490322580645,-0.0337536624687651,525.1064516129031,-0.0034771749178150735
2015,6,Jun,06-Jun,1433116800000.0,59.40087544012,-0.01149176718648659,60.88972066666666,-0.02086768078755652,396.88666666666666,0.04243390229576027
2016,3,Mar,03-Mar,1456790400000.0,58.03297896964356,0.016358080532826724,58.12404612903226,0.007067495502728116,326.73509677419355,0.006438740787316988
2016,2,Feb,02-Feb,1454284800000.0,57.098949751272414,-0.01665281388459372,57.7161375862069,-0.02003038257411538,324.6447931034483,0.023548828664494925
2013,8,Ago,08-Ago,1375315200000.0,58.32778295465323,0.006391694578034679,60.601996129032244,0.013883075521692767,457.2881290322581,0.008476263736873602
2011,9,Sep,09-Sep,1314835200000.0,45.891951196884996,-0.007913565221322583,46.712333333333326,-0.008060873834069726,471.01000000000005,0.012938785137497799
2023,4,Abr,04-Abr,1680307200000.0,37.65065764815999,-0.015705632166549965,33.086803999999994,-0.023332593692699244,129.1857,0.04394498584006579
2023,2,Feb,02-Feb,1675209600000.0,38.220978761533935,-0.01883288360820856,33.632535714285716,-0.022698866748867563,125.04578571428571,-0.01887987307995942
2016,1,Ene,01-Ene,1451606400000.0,58.06591055274677,0.02462193766912857,58.89584387096775,0.02327787692032479,317.1756774193548,0.01323107226044029
2017,11,Nov,11-Nov,1509494400000.0,56.061821392455,-0.03150479628463798,55.20639333333335,-0.027608209733270273,265.9094,0.014704240831006743
2020,7,Jul,07-Jul,1593561600000.0,45.141181285291935,0.09441888687751043,43.84974774193549,0.09005904371968554,182.94270967741934,-0.02035229982777076
2024,9,Sep,09-Sep,1725148800000.0,29.42910943894,-0.0792283180208394,25.530962999999996,-0.07899778728322016,107.21773333333333,-0.04840890424986333
2019,9,Sep,09-Sep,1567296000000.0,47.552977974295004,0.018995657088187512,47.62925133333333,0.013610659687071092,207.94160000000002,0.010401943500975674
2006,4,Abr,04-Abr,1143849600000.0,30.09721342226,-0.17670216784786819,39.9819,-0.22230747945554452,723.2706766666665,0.10290470828783249
2006,8,Ago,08-Ago,1154390400000.0,39.23050927288065,0.037938380971611396,51.91335483870968,0.026422184762039613,684.9225806451614,-0.02933535214171501
2022,12,Dic,12-Dic,1669852800000.0,39.54635633122742,0.005844153338298241,35.047898709677405,0.005138377843913355,129.72048387096774,0.01696835956816689
2018,1,Ene,01-Ene,1514764800000.0,50.55054640045161,-0.06892444804264553,50.57336258064515,-0.051308773061887414,271.7527096774194,0.0203126703178782
2014,11,Nov,11-Nov,1414800000000.0,56.316790085434995,-0.047162946327965805,58.207971666666666,-0.06958972501470662,396.61353333333335,-0.010461443483487765
2011,4,Abr,04-Abr,1301616000000.0,38.48923661964,-0.10282394470589207,39.52766666666666,-0.09534184128240397,463.4133333333333,0.001995740683908398
2017,8,Ago,08-Ago,1501545600000.0,59.80968409846936,0.0228080352313631,58.35199580645161,0.00784216122846737,291.2847096774193,0.005294989626780877
2019,12,Dic,12-Dic,1575158400000.0,44.68752890625,-0.15733827342463447,43.36379548387097,-0.12982584768274563,181.5332258064516,0.4146930675825591
2022,4,Abr,04-Abr,1648771200000.0,40.29406957588,-0.05576849584142429,36.34460633333333,-0.0590327013024422,147.08840000000004,0.00862543292070983
2006,6,Jun,06-Jun,1149120000000.0,37.709497230775,0.04258861326375363,49.63013333333333,0.03497452366553366,715.4313333333333,0.04283416559303577
2022,2,Feb,02-Feb,1643673600000.0,42.93505569345,-0.00592868443797212,38.91920678571428,-0.0060370725632006295,146.99492857142855,0.023880076681148887
2015,4,Abr,04-Abr,1427846400000.0,60.26289321224,-0.0032975499541015862,62.32442766666666,-0.005098258071024264,404.3808333333334,0.030248809708333546
2009,1,Ene,01-Ene,1230768000000.0,30.780586764546776,-0.16568561756649247,39.96954838709677,-0.08012225877315104,511.01612903225816,-0.03321188597374525
2023,10,Oct,10-Oct,1696118400000.0,34.636423720538716,-0.019654083799563016,30.343612903225807,-0.01650729797014805,118.79845161290324,-0.015766024212610197
2018,3,Mar,03-Mar,1519862400000.0,56.41710624124355,0.03307075016323813,55.63015161290322,0.03039825677211283,196.3887741935484,-0.23573078353617372
2006,7,Jul,07-Jul,1151712000000.0,37.79656865194355,0.002309005093218186,50.577,0.019078463084255315,705.622258064516,-0.013710715217231106
2007,1,Ene,01-Ene,1167609600000.0,32.71872442832903,-0.03779130717008672,46.8,0.031234873196067436,616.5909677419355,-0.0015216692915849261
2020,3,Mar,03-Mar,1583020800000.0,39.303986017949995,-0.06716116083945078,38.73445612903227,-0.05879486400943412,194.32,-0.015945260287444918
2016,5,May,05-May,1462060800000.0,56.28657012997742,-0.019100297958393186,56.3169370967742,-0.010704672759174194,325.6701935483871,0.0032045524715595963
2017,10,Oct,10-Oct,1506816000000.0,57.885492026588715,-0.0073559855515813455,56.77381677419355,-0.003072098464612538,262.056064516129,-0.028648859717867903
2016,7,Jul,07-Jul,1467331200000.0,55.44663481183064,-0.019874669390824162,55.033722258064515,-0.02544921471598871,313.3859354838711,-0.008783125518534995
2010,3,Mar,03-Mar,1267401600000.0,38.17247757603387,0.02430922971379057,41.96058064516129,0.019346084293497157,463.4225806451613,0.02577370852223093
2013,3,Mar,03-Mar,1362096000000.0,56.66846761111935,0.006181699497628035,59.0201864516129,0.005345722129953989,459.6775161290322,-0.0005967663385916255
2015,3,Mar,03-Mar,1425168000000.0,60.46227056978226,0.016216740389856543,62.643801935483886,0.013538716591314337,392.50793548387094,-0.024535827919493602
2007,4,Abr,04-Abr,1175385600000.0,35.86068159922001,0.005181005444287123,49.32036666666667,0.005018327563037772,601.1633333333334,0.026301408286784955
2019,2,Feb,02-Feb,1548979200000.0,52.19841256949464,0.2613344105186506,51.635997142857136,0.23416530948272318,215.6197857142857,-0.019278635681293177
2007,12,Dic,12-Dic,1196467200000.0,39.67326149156613,-0.0043037067706473975,48.867290322580644,0.00392230704525276,553.209677419355,0.018133596875020475
2022,8,Ago,08-Ago,1659312000000.0,42.35974955957419,-0.009461729651556894,37.78170870967742,-0.019480938771347045,117.25167741935485,0.02691743840349292
2013,12,Dic,12-Dic,1385856000000.0,56.6668416758613,0.028827185680096346,60.36478806451611,0.0313861671077349,456.4240000000001,-0.020399192809026356
2012,10,Oct,10-Oct,1349049600000.0,55.66388716571129,-0.00411790369549192,58.040567096774204,-0.014422704558751387,468.25835483870975,0.005754239586488685
2015,7,Jul,07-Jul,1435708800000.0,58.939158361301615,-0.0077729002375364065,60.815965483870976,-0.0012112911996994269,400.6858064516129,0.009572354286562668
2022,11,Nov,11-Nov,1667260800000.0,39.316584184515,0.01830013090129312,34.868730000000006,0.027401267126540674,127.55606666666667,-0.013100448379159468
2025,6,Jun,06-Jun,1748736000000.0,27.80570254065,0.027060304716230332,23.775335666666663,0.01187051846354148,101.49410000000002,-0.005207086410525252
2017,4,Abr,04-Abr,1491004800000.0,59.96947023696,0.054857615827694994,58.953490333333335,0.06427104331452971,275.46216666666663,-0.027974108077002846
2025,9,Sep,09-Sep,1756684800000.0,26.370271387715,-0.06188468982250628,22.00250666666666,-0.06493925146377,85.46373333333332,-0.08394217125973358
2023,5,May,05-May,1682899200000.0,33.84497050337904,-0.10107890226897376,29.50875064516129,-0.10814140147349094,124.20087096774193,-0.038586538852659835
2010,12,Dic,12-Dic,1291161600000.0,39.37918278329516,-0.067265546001542,40.807580645161295,-0.07656632525465978,448.57096774193536,-0.01075980209078109
2013,2,Feb,02-Feb,1359676800000.0,56.32031236446965,0.061661428306061694,58.706358571428595,0.056319472582540886,459.9520000000001,0.028394512243102854
2017,12,Dic,12-Dic,1512086400000.0,54.2926363968871,-0.03155775091898827,53.30855935483873,-0.0343770687397672,266.3425806451613,0.0016290535240999215
2011,3,Mar,03-Mar,1298937600000.0,42.900427839687104,-0.037333772265176646,43.693483870967746,-0.04144019438325475,462.49032258064517,0.02941477398173764
2020,9,Sep,09-Sep,1598918400000.0,45.6880104115,-0.018099375863485645,42.91034300000001,-0.01807859415601798,182.72736666666665,0.004507319774388341
2010,8,Ago,08-Ago,1280620800000.0,43.38676791154355,0.00965668511254325,45.57890322580645,0.012189722980378681,460.35483870967744,0.024266304932928806
2023,9,Sep,09-Sep,1693526400000.0,35.33081858981,0.023495240038020393,30.852911099999996,0.024185923278895016,120.70143333333333,-0.01698937205885609
2014,12,Dic,12-Dic,1417392000000.0,57.7284860547,0.02506705313146229,60.16474193548387,0.03361687777101774,393.5593548387097,-0.007700641147957987
2007,11,Nov,11-Nov,1193875200000.0,39.844741575659995,-0.0017951215707869839,48.67636666666667,-0.006170983999819191,543.3566666666668,-0.06902909044013328
2023,7,Jul,07-Jul,1688169600000.0,35.832630684024195,-0.006943797768584226,30.991901935483874,-0.01480984865579138,124.20203225806452,-0.027764370119316095
